Date/Time	City	State	Shape	Duration	Summary	Posted
3/16/15 21:15	Bixby	OK	Circle	Light/orb	Huge ball of changing color light.	3/20/15
3/16/15 21:00	West Frankfort	IL	Chevron	1-5 minutes	I seen a low flying dark/grey, large chevron shaped object, no lights or sound.	3/20/15
3/16/15 21:00	Ketchikan	AK	Circle		There were 2 glowing orange balls dropping smaller white balls, they blinked then disappeared.	3/20/15
3/16/15 20:50	Bloomington	IL	Light	3 hours	Starlike object in western sky seen by many on multiple occasions.  ((NUFORC Note:  Venus??  PD))	3/20/15
3/16/15 20:45	Urbana	IN	Sphere	2 minutes	In the West sky seen 1 orange Spear shaped light moving slowly  north and then disappeared after about 2 minutes.	3/20/15
3/16/15 20:01	Wilmington	NC	Other	10-15 seconds	Was driving down I40 and saw 5_6 white lights Instantly appear in the sky. After about 10 seconds they all went dark at same time. Ligh	3/20/15
3/16/15 20:00	Surprise	AZ	Light	30 minutes	Large unnatural light over white tanks.	3/20/15
3/16/15 19:55	Goodyear	AZ	Fireball	4 minutes	Large orange ball, with tail, moved across sky, getting smaller as it moved.  Eventually died out near sky over Luke Air Force Base.	3/26/15
3/16/15 18:00	Chandler	AZ	Light	3-5 secounds	A small bright blue orb shaped ball of light diving at a angle and lasting around three to five secounds	3/20/15
3/16/15 11:35	Belton	MO	Chevron	30 seconds	High speed silent object Belton, MO.	3/20/15
3/16/15 09:45	Dallas	TX	Circle	15 minutes	One picture that I took with my iPhone aimed towards the sun revealed 5 or 6 blue orbs.  ((NUFORC Note:  Lens flare?  PD))	3/20/15
3/16/15 00:40	Greenbelt	MD	Unknown	5 minutes	5 bright objects.  3 in a specific triangle shape.  Moved 1 yard from tree branch measuring spot of origin.	3/20/15
3/15/15 23:30	Miami	FL	Oval	10 minutes	Object looked like a blimp sort with helicopter; flashing blue light in front.	3/20/15
3/15/15 23:30	Marquette	MI	Light	30 minutes	Photographed mysterious light over Lake Superior.	6/15/15
3/15/15 23:15	Lawrence	KS	Fireball	~1 minute	Bright green fireball.	5/22/15
3/15/15 22:30	Memphis	TN	Chevron	4 minutes	Black or grey large Boomerang-shaped object flew over mississippi river at night. No lights and completely silent.	3/20/15
3/15/15 22:00	Lake Wales	FL	Disk		Photo shows illuminated disk with illuminated cupola when object stopped moving.	4/17/15
3/15/15 22:00	Westport	CA	Circle	5 minutes	The object appeared directly in front of us.  No blinking of any kind just a bright red light.  It did not move.	3/20/15
3/15/15 21:45	O'Fallon	MO	Formation	5 minutes		3/20/15
3/15/15 21:31	Springfield South	MA		>1 hour	Loud hovering noise in the sky over South Springfield, Ma.	3/20/15
3/15/15 21:02	Sioux Falls	SD	Disk	2 minutes	We saw this disc shaped object flying over 57th and I29 last evening.  Very large, quiet, no lights or propellers. About the size of a	5/22/15
3/15/15 20:39	Chicago	IL	Disk	30 seconds	Witnessed 6-8 white-ish disks fly in a straight line 2-3x faster than a plane beneath sparse cloud cover over downtown Chicago.	3/20/15
