Date/Time	City	State	Shape	Duration	Summary	Posted	Month	Day	Date	Time	Periods	Duration_Sec	US_STATE	Lat	Long
9/29/15 04:00	Wheaton	IL	Unknown	3 minutes	Object hovering for 1 minute, brightly lite and loud. Then moved past slowly. I called FAA to see if they knew what it was.	9/29/15	9	29	9/29/15	04:00	3	180.0	1	41.86613569	-88.107007633
9/28/15 23:17	Hendersom	NV	Triangle	~1 minute	V-shape/triangle UFO sighting in Henderson and Las Vegas, NV.	9/29/15	9	28	9/28/15	23:17	12	60.0	1	51.456769137	0.227016293
9/28/15 23:00	Oceanside 	CA	Changing	ongoing	Changing Sphere Multi Color Hovwering for weeks.	10/9/15	9	28	9/28/15	23:00	12	877.0	1	33.195868571	-117.379479556
9/28/15 22:08	Dousman	WI	Fireball	5 minutes	Bright yellowish/white light hovering, no sound of craft.	9/29/15	9	28	9/28/15	22:08	12	300.0	1	43.014177315	-88.472595692
9/28/15 21:47	East Setauket	NY	Circle	1-2 minutes	6-7 orange flying orbs in unison in staggered arrangement, with simultaneous movements of up, down, left, right, at great speeds.	10/9/15	9	28	9/28/15	21:47	11	120.0	1	40.941485741	-73.105937296
9/28/15 21:10	Tacna	AZ	Triangle	~15 seconds	Brightly lit craft flew and hovered right in front of us, then disappeared.	9/29/15	9	28	9/28/15	21:10	11	15.0	1	32.697546791	-113.953537567
9/28/15 20:35	York	ME	Triangle	10 minutes	Triangle bright flashing white light, releasing a red and white pattern craft heading straight up.	9/29/15	9	28	9/28/15	20:35	11	600.0	1	43.18619705	-70.667279698
9/28/15 20:29	Kettering	OH	Other	1 minute	Six orange lights in the northern sky, originally in a formation until moving around and fading away.	9/29/15	9	28	9/28/15	20:29	11	60.0	1	39.68949884	-84.168826599
9/28/15 20:20	Ft. Lauderdale	FL	Circle	10 minutes	I saw approximately ten red glowing lights traveling from south to north last night in the western sky and they blanked out after they	10/2/15	9	28	9/28/15	20:20	11	600.0	1	26.122307264	-80.143375809
9/28/15 20:00	Aloha	OR	Light	30 seconds	Light, orange, red, fast speed.	9/29/15	9	28	9/28/15	20:00	11	30.0	1	45.494276236	-122.867048601
9/28/15 20:00	Sacramento	CA	Light	30 minutes	Split sec flash of light to a light glow, then it would move.	10/9/15	9	28	9/28/15	20:00	11	1800.0	1	38.581566656	-121.494395907
9/28/15 20:00	Warner Springs	CA	Fireball	9 seconds	Very large, bright meteor with short, red tail descending very slowly near harvest moon.	10/2/15	9	28	9/28/15	20:00	11	9.0	1	33.282256405	-116.633625742
9/28/15 19:55	Palm Desert	CA	Fireball	5 seconds	"A very bright slow moving ""fireball"" appeared from the west heading east."	9/29/15	9	28	9/28/15	19:55	10	5.0	1	33.722236362	-116.37445774
9/28/15 18:10	Syracuse 	NY	Formation	5-10 seconds	A mass, grey oddly circular shaped, came twisting out of the clouds for about 5-10 seconds and then receded.	9/29/15	9	28	9/28/15	18:10	10	10.0	1	43.048117803	-76.147419902
9/28/15 17:00	Smithfield	RI	Rectangle	30 seconds	Driving home from work, I saw a very large craft, clear as day.  It looked like it was put together by leggo blocks.  It had no wings.	9/29/15	9	28	9/28/15	17:00	9	30.0	1	41.922038729	-71.549507411
9/28/15 03:30	Phoenix	AZ		2 hours +	A bright orb to the naked eye when superimposed a bunch of dancing lights shifting shapes, last one looked like a man staring down.	9/29/15	9	28	9/28/15	03:30	2	7200.0	1	33.448377164	-112.07403635
9/28/15 03:00	Spokane	WA	Fireball	2 seconds	Saw one green fireball zoom downward.  ((NUFORC Note:  We suspect a meteor.  PD))	10/2/15	9	28	9/28/15	03:00	2	2.0	1	47.659659585	-117.429078655
9/28/15 02:44	Cedar Rapids	IA	Unknown	5 minutes	Blue light, then followed by a bright flash, before disappearing.	9/29/15	9	28	9/28/15	02:44	2	300.0	1	42.008327572	-91.644067262
9/28/15 02:02	Washougal	WA	Other	1 minute	Light sequence on object changes in each frame.	12/3/15	9	28	9/28/15	02:02	2	60.0	1	45.582616897	-122.353419179
9/28/15 02:00	Sterling	IL	Unknown	2 hours	Two different ufos and an alien/robot figure.	10/2/15	9	28	9/28/15	02:00	2	7200.0	1	41.788639067	-89.69621711
